concat latlng,Latitude,Longitude
-26.3977805 153.0206216,-26.3977805,153.0206216
-26.3977887 153.0037665,-26.3977887,153.0037665
-26.3978598 153.0631267,-26.3978598,153.0631267
-26.3978817 153.0904245,-26.3978817,153.0904245
-26.3979379 153.0045023,-26.3979379,153.0045023
-26.3979528 153.0294521,-26.3979528,153.0294521
-26.3980256 153.0918737,-26.3980256,153.0918737
-26.3980271 153.0914866,-26.3980271,153.0914866
-26.3980732 153.0208056,-26.3980732,153.0208056
-26.3981919 153.0620758,-26.3981919,153.0620758
-26.398237 153.091382,-26.398237,153.091382
-26.3982789 153.0489968,-26.3982789,153.0489968
-26.3983327 153.1125776,-26.3983327,153.1125776
-26.3983905 153.0629376,-26.3983905,153.0629376
-26.3983938 153.023542,-26.3983938,153.023542
-26.3984145 153.023749,-26.3984145,153.023749
-26.3984355 153.0650536,-26.3984355,153.0650536
-26.3984798 153.0473344,-26.3984798,153.0473344
-26.3985552 153.0919657,-26.3985552,153.0919657
-26.3986702 153.0628078,-26.3986702,153.0628078
-26.3986944 153.0054001,-26.3986944,153.0054001
-26.3987274 153.0313838,-26.3987274,153.0313838
-26.3987528 153.0909536,-26.3987528,153.0909536
-26.3987619 153.0309238,-26.3987619,153.0309238
-26.3988759 153.0228752,-26.3988759,153.0228752
-26.3989097 153.0867671,-26.3989097,153.0867671
-26.3989328 153.1128077,-26.3989328,153.1128077
-26.3989572 153.0646856,-26.3989572,153.0646856
-26.3990213 153.0624776,-26.3990213,153.0624776
-26.3990252 153.0895504,-26.3990252,153.0895504
-26.39908 153.0867671,-26.39908,153.0867671
-26.3990926 153.0666177,-26.3990926,153.0666177
-26.3991637 153.0623396,-26.3991637,153.0623396
-26.3991826 153.0262786,-26.3991826,153.0262786
-26.3991867 153.0265085,-26.3991867,153.0265085
-26.3992122 153.0676297,-26.3992122,153.0676297
-26.3992741 153.0864105,-26.3992741,153.0864105
-26.3992849 153.0228982,-26.3992849,153.0228982
-26.3993017 153.0632276,-26.3993017,153.0632276
-26.3993332 153.1133138,-26.3993332,153.1133138
-26.3993391 153.1116092,-26.3993391,153.1116092
-26.3994053 153.090114,-26.3994053,153.090114
-26.3994175 153.0674747,-26.3994175,153.0674747
-26.3994414 153.0625862,-26.3994414,153.0625862
-26.3995513 153.0552097,-26.3995513,153.0552097
-26.3995564 153.0658586,-26.3995564,153.0658586
-26.3996118 153.0676956,-26.3996118,153.0676956
-26.3996599 152.9021396,-26.3996599,152.9021396
-26.3997101 153.0658816,-26.3997101,153.0658816
-26.3998493 153.0900054,-26.3998493,153.0900054
-26.3998564 153.0619303,-26.3998564,153.0619303
-26.4000255 153.1129457,-26.4000255,153.1129457
-26.4000867 153.1130377,-26.4000867,153.1130377
-26.4002581 153.0675377,-26.4002581,153.0675377
-26.4004833 153.0652836,-26.4004833,153.0652836
-26.4005392 153.0249908,-26.4005392,153.0249908
-26.4005497 153.1056301,-26.4005497,153.1056301
-26.4005727 153.0657781,-26.4005727,153.0657781
-26.4006137 153.0300057,-26.4006137,153.0300057
-26.4006938 153.1126697,-26.4006938,153.1126697
-26.4007611 153.0670777,-26.4007611,153.0670777
-26.4007852 153.1110133,-26.4007852,153.1110133
-26.4007961 153.0668822,-26.4007961,153.0668822
-26.4008216 153.1126697,-26.4008216,153.1126697
-26.4008839 153.1132192,-26.4008839,153.1132192
-26.40094 153.1126236,-26.40094,153.1126236
-26.4009664 153.1131758,-26.4009664,153.1131758
-26.4011051 153.0667787,-26.4011051,153.0667787
-26.4011059 153.0651349,-26.4011059,153.0651349
-26.4011274 153.1131298,-26.4011274,153.1131298
-26.4012459 153.1130838,-26.4012459,153.1130838
-26.4012868 153.0248988,-26.4012868,153.0248988
-26.4013187 153.0629929,-26.4013187,153.0629929
-26.4013237 153.086491,-26.4013237,153.086491
-26.4013342 153.0590999,-26.4013342,153.0590999
-26.401448 153.1109213,-26.401448,153.1109213
-26.4014521 153.0265545,-26.4014521,153.0265545
-26.401475 153.0665027,-26.401475,153.0665027
-26.4015818 153.0692397,-26.4015818,153.0692397
-26.4016711 153.1129764,-26.4016711,153.1129764
-26.4016739 153.0202997,-26.4016739,153.0202997
-26.4016919 153.1077005,-26.4016919,153.1077005
-26.4017284 153.1118875,-26.4017284,153.1118875
-26.4017297 153.1112088,-26.4017297,153.1112088
-26.4017935 153.0198397,-26.4017935,153.0198397
-26.4019293 153.0202997,-26.4019293,153.0202997
-26.402011 153.0625236,-26.402011,153.0625236
-26.4020251 153.0651929,-26.4020251,153.0651929
-26.4022393 153.0614426,-26.4022393,153.0614426
-26.4023549 153.1128531,-26.4023549,153.1128531
-26.4024262 153.0614196,-26.4024262,153.0614196
-26.4024441 153.0624546,-26.4024441,153.0624546
-26.4024661 153.0622476,-26.4024661,153.0622476
-26.4024828 153.086537,-26.4024828,153.086537
-26.4025356 153.0856399,-26.4025356,153.0856399
-26.4025406 153.0626156,-26.4025406,153.0626156
-26.402729 153.086491,-26.402729,153.086491
-26.4027613 153.0221952,-26.4027613,153.0221952
-26.4028053 153.0849729,-26.4028053,153.0849729
-26.4028381 153.086399,-26.4028381,153.086399
-26.402848 152.9129092,-26.402848,152.9129092
-26.4028773 153.1057681,-26.4028773,153.1057681
-26.4029578 153.1000356,-26.4029578,153.1000356
-26.4030306 153.105262,-26.4030306,153.105262
-26.4030511 153.0216334,-26.4030511,153.0216334
-26.4030872 153.0222313,-26.4030872,153.0222313
-26.4031607 153.0504274,-26.4031607,153.0504274
-26.4033161 153.0700549,-26.4033161,153.0700549
-26.4033703 153.0702403,-26.4033703,153.0702403
-26.4034921 153.1123687,-26.4034921,153.1123687
-26.4035063 153.05698,-26.4035063,153.05698
-26.4036984 153.0586596,-26.4036984,153.0586596
-26.4037456 153.0330395,-26.4037456,153.0330395
-26.4037466 153.0698378,-26.4037466,153.0698378
-26.4038614 153.0715628,-26.4038614,153.0715628
-26.404245 153.0474821,-26.404245,153.0474821
-26.404252 153.0714938,-26.404252,153.0714938
-26.4043954 153.0220703,-26.4043954,153.0220703
-26.404443 153.0756671,-26.404443,153.0756671
-26.4044536 153.0910879,-26.4044536,153.0910879
-26.4045269 153.0450903,-26.4045269,153.0450903
-26.4045338 153.0769911,-26.4045338,153.0769911
-26.4046279 153.0445383,-26.4046279,153.0445383
-26.4048556 153.0731282,-26.4048556,153.0731282
-26.4049788 153.0446418,-26.4049788,153.0446418
-26.4049836 153.1023865,-26.4049836,153.1023865
-26.4050022 153.0503799,-26.4050022,153.0503799
-26.4051077 153.0841448,-26.4051077,153.0841448
-26.405129 153.045188,-26.405129,153.045188
-26.4052594 153.0840528,-26.4052594,153.0840528
-26.4053012 153.110966,-26.4053012,153.110966
-26.4053451 153.0451363,-26.4053451,153.0451363
-26.4054544 153.0479881,-26.4054544,153.0479881
-26.4054618 153.1107397,-26.4054618,153.1107397
-26.4059114 153.1099318,-26.4059114,153.1099318
-26.4060725 153.0626695,-26.4060725,153.0626695
-26.4061969 153.1106358,-26.4061969,153.1106358
-26.4062545 153.1031776,-26.4062545,153.1031776
-26.4063975 153.1018176,-26.4063975,153.1018176
-26.4064433 153.1076085,-26.4064433,153.1076085
-26.406481 153.1018139,-26.406481,153.1018139
-26.4064941 153.1111283,-26.4064941,153.1111283
-26.406585 153.0450149,-26.406585,153.0450149
-26.4066066 153.1114413,-26.4066066,153.1114413
-26.4066723 153.1115884,-26.4066723,153.1115884
-26.4068525 153.0830867,-26.4068525,153.0830867
-26.4069518 153.1115522,-26.4069518,153.1115522
-26.406993 153.1037016,-26.406993,153.1037016
-26.4070124 153.0819826,-26.4070124,153.0819826
-26.4071068 153.1060442,-26.4071068,153.1060442
-26.4071485 153.0725519,-26.4071485,153.0725519
-26.4072105 153.1061362,-26.4072105,153.1061362
-26.4072123 153.0732879,-26.4072123,153.0732879
-26.4072418 153.1105072,-26.4072418,153.1105072
-26.4073143 153.1062282,-26.4073143,153.1062282
-26.4073745 153.0443313,-26.4073745,153.0443313
-26.4074157 153.0816605,-26.4074157,153.0816605
-26.4074497 153.0564747,-26.4074497,153.0564747
-26.4074516 153.0438714,-26.4074516,153.0438714
-26.4075101 153.1002551,-26.4075101,153.1002551
-26.4075292 153.0719078,-26.4075292,153.0719078
-26.4077044 153.1038596,-26.4077044,153.1038596
-26.4079173 153.0530018,-26.4079173,153.0530018
-26.4079195 153.0462862,-26.4079195,153.0462862
-26.408026 153.0470221,-26.408026,153.0470221
-26.4080377 153.0447683,-26.4080377,153.0447683
-26.4080508 153.1079766,-26.4080508,153.1079766
-26.4080936 153.0450443,-26.4080936,153.0450443
-26.4081364 153.0465162,-26.4081364,153.0465162
-26.4081408 153.0443313,-26.4081408,153.0443313
-26.4081411 153.0699554,-26.4081411,153.0699554
-26.408143 153.0967672,-26.408143,153.0967672
-26.408152 153.0450214,-26.408152,153.0450214
-26.4082979 153.0582456,-26.4082979,153.0582456
-26.4083326 152.9100031,-26.4083326,152.9100031
-26.4084534 153.0825806,-26.4084534,153.0825806
-26.408578 153.0459642,-26.408578,153.0459642
-26.4085891 153.1115914,-26.4085891,153.1115914
-26.408594 153.0468841,-26.408594,153.0468841
-26.4090323 153.0578776,-26.4090323,153.0578776
-26.4091874 153.0456414,-26.4091874,153.0456414
-26.4092531 153.0456192,-26.4092531,153.0456192
-26.4093845 153.0390188,-26.4093845,153.0390188
-26.4094601 153.0458195,-26.4094601,153.0458195
-26.4094916 153.0388118,-26.4094916,153.0388118
-26.4095145 153.1023635,-26.4095145,153.1023635
-26.4095623 153.041621,-26.4095623,153.041621
-26.409674 153.1027315,-26.409674,153.1027315
-26.4097514 153.0458722,-26.4097514,153.0458722
-26.4097638 153.0509779,-26.4097638,153.0509779
-26.4098762 153.0460345,-26.4098762,153.0460345
-26.4099187 153.0626571,-26.4099187,153.0626571
-26.4102065 153.0470681,-26.4102065,153.0470681
-26.4102249 152.9192587,-26.4102249,152.9192587
-26.4103497 152.9278091,-26.4103497,152.9278091
-26.4103591 152.9145929,-26.4103591,152.9145929
-26.4103769 153.04854,-26.4103769,153.04854
-26.4104743 153.0706654,-26.4104743,153.0706654
-26.410911 153.0479191,-26.410911,153.0479191
-26.4109521 152.9290962,-26.4109521,152.9290962
-26.4109669 153.048195,-26.4109669,153.048195
-26.4109782 153.0352243,-26.4109782,153.0352243
-26.4111443 152.9142711,-26.4111443,152.9142711
-26.4111738 153.0798204,-26.4111738,153.0798204
-26.4111769 153.0479968,-26.4111769,153.0479968
-26.4112002 153.047421,-26.4112002,153.047421
-26.4115695 153.099994,-26.4115695,153.099994
-26.4116371 153.0498375,-26.4116371,153.0498375
-26.4117994 152.9048581,-26.4117994,152.9048581
-26.4118161 152.9120586,-26.4118161,152.9120586
-26.4118526 153.0478866,-26.4118526,153.0478866
-26.4120416 152.9038035,-26.4120416,152.9038035
-26.4120759 153.109771,-26.4120759,153.109771
-26.412084 153.0448833,-26.412084,153.0448833
-26.4121461 152.9041585,-26.4121461,152.9041585
-26.4122171 152.9827349,-26.4122171,152.9827349
-26.4122271 153.0452742,-26.4122271,153.0452742
-26.4122314 153.0707384,-26.4122314,153.0707384
-26.4122906 153.0430664,-26.4122906,153.0430664
-26.4123264 153.0771817,-26.4123264,153.0771817
-26.4123857 152.9046086,-26.4123857,152.9046086
-26.4124161 153.074806,-26.4124161,153.074806
-26.4124304 153.049115,-26.4124304,153.049115
-26.412511 153.0464127,-26.412511,153.0464127
-26.4126047 153.1088048,-26.4126047,153.1088048
-26.412671 152.9040206,-26.412671,152.9040206
-26.4127637 153.0399387,-26.4127637,153.0399387
-26.4128136 153.1095754,-26.4128136,153.1095754
-26.4128919 152.9149147,-26.4128919,152.9149147
-26.4129201 152.9040585,-26.4129201,152.9040585
-26.4129235 152.9061465,-26.4129235,152.9061465
-26.4129261 152.929593,-26.4129261,152.929593
-26.4129672 153.0398927,-26.4129672,153.0398927
-26.4129821 152.9083643,-26.4129821,152.9083643
-26.4131312 153.0419625,-26.4131312,153.0419625
-26.4132133 153.0398467,-26.4132133,153.0398467
-26.4133574 153.0422385,-26.4133574,153.0422385
-26.4133712 153.0864827,-26.4133712,153.0864827
-26.4135439 153.0505132,-26.4135439,153.0505132
-26.4135439 153.0505132,-26.4135439,153.0505132
-26.4135439 153.0505132,-26.4135439,153.0505132
-26.4137647 152.9128091,-26.4137647,152.9128091
-26.4142812 152.9086861,-26.4142812,152.9086861
-26.4143537 153.0451593,-26.4143537,153.0451593
-26.4144748 153.0755738,-26.4144748,153.0755738
-26.4146483 153.1037437,-26.4146483,153.1037437
-26.414826 153.0470051,-26.414826,153.0470051
-26.4149878 153.0410119,-26.4149878,153.0410119
-26.4150261 153.0333693,-26.4150261,153.0333693
-26.4151089 153.109817,-26.4151089,153.109817
-26.41514 153.0855299,-26.41514,153.0855299
-26.4152946 153.1082066,-26.4152946,153.1082066
-26.4153107 152.9140296,-26.4153107,152.9140296
-26.4153927 153.0417785,-26.4153927,153.0417785
-26.4154341 153.1088968,-26.4154341,153.1088968
-26.4154406 153.1045181,-26.4154406,153.1045181
-26.4157688 153.0433194,-26.4157688,153.0433194
-26.4158266 153.1089428,-26.4158266,153.1089428
-26.4158856 153.1097703,-26.4158856,153.1097703
-26.4159852 152.9122494,-26.4159852,152.9122494
-26.4159852 152.9122494,-26.4159852,152.9122494
-26.4160168 153.1060902,-26.4160168,153.1060902
-26.4160339 153.1065963,-26.4160339,153.1065963
-26.4161778 153.1060442,-26.4161778,153.1060442
-26.4162042 153.1065963,-26.4162042,153.1065963
-26.4162387 152.9097595,-26.4162387,152.9097595
-26.4163804 152.912056,-26.4163804,152.912056
-26.4165021 153.100063,-26.4165021,153.100063
-26.4165235 153.0455732,-26.4165235,153.0455732
-26.4165388 152.9094152,-26.4165388,152.9094152
-26.4167091 152.9106857,-26.4167091,152.9106857
-26.4167126 153.10669,-26.4167126,153.10669
-26.416768 153.0461837,-26.416768,153.0461837
-26.4167857 152.9086611,-26.4167857,152.9086611
-26.4168095 153.100109,-26.4168095,153.100109
-26.4168214 152.9089045,-26.4168214,152.9089045
-26.4168401 152.9090384,-26.4168401,152.9090384
-26.4168751 152.9090998,-26.4168751,152.9090998
-26.4168991 153.0710798,-26.4168991,153.0710798
-26.4169504 152.9100449,-26.4169504,152.9100449
-26.4170406 153.0450046,-26.4170406,153.0450046
-26.4170767 152.9119153,-26.4170767,152.9119153
-26.4170809 152.9096325,-26.4170809,152.9096325
-26.4171364 152.9069224,-26.4171364,152.9069224
-26.4171537 152.9098927,-26.4171537,152.9098927
-26.417167 152.908762,-26.417167,152.908762
-26.4173063 153.0709878,-26.4173063,153.0709878
-26.4173315 153.0452168,-26.4173315,153.0452168
-26.4174227 152.9104417,-26.4174227,152.9104417
-26.4174227 152.9104417,-26.4174227,152.9104417
-26.4174227 152.9104417,-26.4174227,152.9104417
-26.4174227 152.9104417,-26.4174227,152.9104417
-26.4174227 152.9104417,-26.4174227,152.9104417
-26.4174227 152.9104417,-26.4174227,152.9104417
-26.4174548 152.9099092,-26.4174548,152.9099092
-26.4175314 152.9100766,-26.4175314,152.9100766
-26.4175495 152.9100621,-26.4175495,152.9100621
-26.4175986 152.9091853,-26.4175986,152.9091853
-26.4176173 153.1090578,-26.4176173,153.1090578
-26.4176507 152.9100881,-26.4176507,152.9100881
-26.4176782 152.9039538,-26.4176782,152.9039538
-26.4178302 152.9090628,-26.4178302,152.9090628
-26.4178628 152.9105881,-26.4178628,152.9105881
-26.4178727 153.0818199,-26.4178727,153.0818199
-26.4180329 152.9091458,-26.4180329,152.9091458
-26.4180829 153.1087422,-26.4180829,153.1087422
-26.4181244 152.9094905,-26.4181244,152.9094905
-26.4182895 152.9105127,-26.4182895,152.9105127
-26.4183918 152.9105937,-26.4183918,152.9105937
-26.418426 152.9151445,-26.418426,152.9151445
-26.4184301 152.9103639,-26.4184301,152.9103639
-26.4187294 152.9088585,-26.4187294,152.9088585
-26.4187388 152.9121072,-26.4187388,152.9121072
-26.4189175 153.0715858,-26.4189175,153.0715858
-26.4189504 152.9127082,-26.4189504,152.9127082
-26.4191389 153.1003621,-26.4191389,153.1003621
-26.4193473 153.0718158,-26.4193473,153.0718158
-26.4193718 153.1060442,-26.4193718,153.1060442
-26.4194112 153.0404676,-26.4194112,153.0404676
-26.4194644 153.1072258,-26.4194644,153.1072258
-26.4196392 152.9077155,-26.4196392,152.9077155
-26.4196823 152.9104558,-26.4196823,152.9104558
